Time (s),Temperature (C)
0.0,25.01
0.02,25.01
0.04,25.01
0.06,25.01
0.08,24.99
0.1,25.0
0.12,25.0
0.14,25.0
0.16,24.99
0.18,25.0
0.2,25.01
0.22,25.01
0.24,25.01
0.26,25.01
0.28,25.01
0.3,25.01
0.32,25.01
0.34,25.0
0.36,25.0
0.38,25.0
0.4,25.0
0.42,25.0
0.44,25.0
0.46,25.03
0.48,25.02
0.5,25.02
0.52,25.02
0.54,25.02
0.56,25.02
0.58,25.02
0.6,25.02
0.62,25.02
0.64,25.02
0.66,25.02
0.68,25.02
0.7000000000000001,25.02
0.72,25.02
0.74,25.02
0.76,25.01
0.78,25.01
0.8,25.01
0.8200000000000001,25.01
0.84,25.01
0.86,25.01
0.88,25.01
0.9,25.01
0.92,25.01
0.9400000000000001,25.01
0.96,25.01
0.98,25.01
1.0,25.01
1.02,25.01
1.04,25.01
1.06,25.01
1.08,25.02
1.1,25.02
1.12,25.01
1.1400000000000001,25.01
1.16,25.01
1.18,25.02
1.2,25.02
1.22,25.02
1.24,25.02
1.26,25.02
1.28,25.02
1.3,25.02
1.32,25.02
1.34,25.02
1.36,25.02
1.3800000000000001,25.02
1.4000000000000001,25.02
1.42,25.02
1.44,25.02
1.46,25.02
1.48,25.02
1.5,25.02
1.52,25.02
1.54,25.02
1.56,25.02
1.58,25.02
1.6,25.02
1.62,25.02
1.6400000000000001,25.02
1.6600000000000001,25.02
1.68,25.02
1.7,25.02
1.72,25.02
1.74,25.02
1.76,25.02
1.78,25.02
1.8,25.02
1.82,25.02
1.84,25.02
1.86,25.01
1.8800000000000001,25.01
1.9000000000000001,25.01
1.92,25.01
1.94,25.01
1.96,25.01
1.98,25.01
2.0,25.01
2.02,25.01
2.04,25.01
2.06,25.01
2.08,25.01
2.1,25.02
2.12,25.02
2.14,25.01
2.16,25.01
2.18,25.01
2.2,25.01
2.22,25.01
2.24,25.01
2.2600000000000002,25.01
2.2800000000000002,25.01
2.3000000000000003,25.02
2.32,25.01
2.34,25.01
2.36,25.01
2.38,25.01
2.4,25.01
2.42,25.01
2.44,25.01
2.46,25.01
2.48,25.01
2.5,25.01
2.52,25.01
2.54,25.01
2.56,25.02
2.58,25.0
2.6,25.01
2.62,25.01
2.64,25.01
2.66,25.01
2.68,25.01
2.7,25.01
2.72,25.01
2.74,25.01
2.7600000000000002,25.01
2.7800000000000002,25.01
2.8000000000000003,25.01
2.82,25.01
2.84,25.01
2.86,25.02
2.88,25.02
2.9,25.01
2.92,25.02
2.94,25.01
2.96,25.01
2.98,25.01
3.0,25.02
3.02,25.02
3.04,25.02
3.06,25.02
3.08,25.02
3.1,25.01
3.12,25.01
3.14,25.01
3.16,25.01
3.18,25.01
3.2,25.01
3.22,25.01
3.24,25.01
3.2600000000000002,25.01
3.2800000000000002,25.0
3.3000000000000003,25.0
3.3200000000000003,25.01
3.34,25.01
3.36,25.01
3.38,25.01
3.4,25.01
3.42,25.01
3.44,24.99
3.46,24.99
3.48,24.99
3.5,24.99
3.52,24.99
3.54,24.99
3.56,24.99
3.58,24.99
3.6,24.99
3.62,24.99
3.64,24.99
3.66,24.99
3.68,24.99
3.7,24.99
3.72,24.99
3.74,24.99
3.7600000000000002,24.99
3.7800000000000002,24.99
3.8000000000000003,24.99
3.8200000000000003,24.99
3.84,24.99
3.86,24.99
3.88,24.99
3.9,24.99
3.92,25.01
3.94,25.01
3.96,25.01
3.98,25.01
4.0,25.01
4.0200000000000005,25.01
4.04,25.02
4.0600000000000005,25.02
4.08,25.02
4.1,25.02
4.12,25.02
4.14,25.02
4.16,25.02
4.18,25.02
4.2,25.01
4.22,25.01
4.24,25.01
4.26,25.01
4.28,25.02
4.3,25.02
4.32,25.01
4.34,25.01
4.36,25.01
4.38,25.01
4.4,25.01
4.42,25.02
4.44,25.02
4.46,25.02
4.48,25.02
4.5,25.02
4.5200000000000005,25.02
4.54,25.02
4.5600000000000005,25.03
4.58,25.03
4.6000000000000005,25.03
4.62,25.03
4.64,25.03
4.66,25.03
4.68,25.02
4.7,25.02
4.72,25.02
4.74,25.02
4.76,25.03
4.78,25.03
4.8,25.03
4.82,25.03
4.84,25.03
4.86,25.03
4.88,25.03
4.9,25.03
4.92,25.03
4.94,25.03
4.96,25.03
4.98,25.03
5.0,25.03
5.0200000000000005,25.03
5.04,25.04
5.0600000000000005,25.04
5.08,25.04
5.1000000000000005,25.05
5.12,25.05
5.14,25.05
5.16,25.03
5.18,25.03
5.2,25.03
5.22,25.03
5.24,25.04
5.26,25.03
5.28,25.03
5.3,25.03
5.32,25.03
5.34,25.03
5.36,25.03
5.38,25.03
5.4,25.03
5.42,25.03
5.44,25.02
5.46,25.02
5.48,25.02
5.5,25.02
5.5200000000000005,25.02
5.54,25.02
5.5600000000000005,25.02
5.58,25.02
5.6000000000000005,25.03
5.62,25.03
5.64,25.03
5.66,25.03
5.68,25.03
5.7,25.03
5.72,25.03
5.74,25.03
5.76,25.03
5.78,25.03
5.8,25.03
5.82,25.03
5.84,25.02
5.86,25.02
5.88,25.01
5.9,25.01
5.92,25.01
5.94,25.0
5.96,24.99
5.98,24.99
