Time (s),Voltage(CH1) (V),Voltage(CH2) (V)
0.0,-5.08,-1.016
4e-10,-5.08,-1.016
8e-10,-5.08,-1.016
1.2e-09,-5.08,-1.016
1.6e-09,-5.08,-1.016
2e-09,-5.08,-1.016
2.4e-09,-5.08,-1.016
2.8000000000000003e-09,-5.08,-1.016
3.2e-09,-5.08,-1.016
3.6e-09,-5.08,-1.016
4e-09,-5.08,-1.016
4.4000000000000005e-09,-5.08,-1.016
4.8e-09,-5.08,-1.016
5.2e-09,-5.08,-1.016
5.6000000000000005e-09,-5.08,-1.016
6e-09,-5.08,-1.016
6.4e-09,-5.08,-1.016
6.8000000000000005e-09,-5.08,-1.016
7.2e-09,-5.08,-1.016
7.6e-09,-5.08,-1.016
8e-09,-5.08,-1.016
8.4e-09,-5.08,-1.016
8.800000000000001e-09,-5.08,-1.016
9.2e-09,-5.08,-1.016
9.6e-09,-5.08,-1.016
1e-08,-5.08,-1.016
1.04e-08,-5.08,-1.016
1.08e-08,-5.08,-1.016
1.1200000000000001e-08,-5.08,-1.016
1.16e-08,-5.08,-1.016
1.2e-08,-5.08,-1.016
1.24e-08,-5.08,-1.016
1.28e-08,-5.08,-1.016
1.32e-08,-5.08,-1.016
1.3600000000000001e-08,-5.08,-1.016
1.4000000000000001e-08,-5.08,-1.016
1.44e-08,-5.08,-1.016
1.48e-08,-5.08,-1.016
1.52e-08,-5.08,-1.016
1.56e-08,-5.08,-1.016
1.6e-08,-5.08,-1.016
1.64e-08,-5.08,-1.016
1.68e-08,-5.08,-1.016
1.7200000000000002e-08,-5.08,-1.016
1.7600000000000002e-08,-5.08,-1.016
1.8e-08,-5.08,-1.016
1.84e-08,-5.08,-1.016
1.88e-08,-5.08,-1.016
1.92e-08,-5.08,-1.016
1.96e-08,-5.08,-1.016
2e-08,-5.08,-1.016
2.04e-08,-5.08,-1.016
2.08e-08,-5.08,-1.016
2.12e-08,-5.08,-1.016
2.16e-08,-5.08,-1.016
2.2000000000000002e-08,-5.08,-1.016
2.2400000000000002e-08,-5.08,-1.016
2.2800000000000002e-08,-5.08,-1.016
2.32e-08,-5.08,-1.016
2.36e-08,-5.08,-1.016
2.4e-08,-5.08,-1.016
2.44e-08,-5.08,-1.016
2.48e-08,-5.08,-1.016
2.52e-08,-5.08,-1.016
2.56e-08,-5.08,-1.016
2.6e-08,-5.08,-1.016
2.64e-08,-5.08,-1.016
2.6800000000000002e-08,-5.08,-1.016
2.7200000000000002e-08,-5.08,-1.016
2.7600000000000002e-08,-5.08,-1.016
2.8000000000000003e-08,-5.08,-1.016
2.84e-08,-5.08,-1.016
2.88e-08,-5.08,-1.016
2.92e-08,-5.08,-1.016
2.96e-08,-5.08,-1.016
3.0000000000000004e-08,-5.08,-1.016
3.04e-08,-5.08,-1.016
3.08e-08,-5.08,-1.016
3.12e-08,-5.08,-1.016
3.16e-08,-5.08,-1.016
3.2e-08,-5.08,-1.016
3.24e-08,-5.08,-1.016
3.28e-08,-5.08,-1.016
3.32e-08,-5.08,-1.016
3.36e-08,-5.08,-1.016
3.4e-08,-5.08,-1.016
3.4400000000000004e-08,-5.08,-1.016
3.48e-08,-5.08,-1.016
3.5200000000000004e-08,-5.08,-1.016
3.56e-08,-5.08,-1.016
3.6e-08,-5.08,-1.016
3.64e-08,-5.08,-1.016
3.68e-08,-5.08,-1.016
3.72e-08,-5.08,-1.016
3.76e-08,-5.08,-1.016
3.8e-08,-5.08,-1.016
3.84e-08,-5.08,-1.016
3.8800000000000003e-08,-5.08,-1.016
3.92e-08,-5.08,-1.016
3.9600000000000004e-08,-5.08,-1.016
4e-08,-5.08,-1.016
4.0400000000000004e-08,-5.08,-1.016
4.08e-08,-5.08,-1.016
4.12e-08,-5.08,-1.016
4.16e-08,-5.08,-1.016
4.2e-08,-5.08,-1.016
4.24e-08,-5.08,-1.016
4.28e-08,-5.08,-1.016
4.32e-08,-5.08,-1.016
